,Family,Virus,Abbreviation,Species,Probe,Accession,Identifier,Strand
CM014226.1-1H85GP,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,1H85GP,+
CM014226.1-OZ5YF9,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,OZ5YF9,+
CM014226.1-RQZWBZ,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,GAG,CM014226.1,RQZWBZ,+
CM014226.1-HM928B,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,GAG,CM014226.1,HM928B,+
CM014226.1-GK6JV5,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,GK6JV5,+
CM014226.1-IJIY4T,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,IJIY4T,+
CM014226.1-W7FWSN,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,W7FWSN,+
CM014226.1-5WPNSO,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,5WPNSO,+
CM014226.1-UUC4XG,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,GAG,CM014226.1,UUC4XG,+
CM014226.1-Z8UYBC,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,Z8UYBC,+
CM014226.1-MOUEDU,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,MOUEDU,+
CM014226.1-J0FJRA,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,GAG,CM014226.1,J0FJRA,+
CM014226.1-Q7RT4L,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,Q7RT4L,+
CM014226.1-KUJ7L9,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,GAG,CM014226.1,KUJ7L9,+
CM014226.1-WHPVUA,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,WHPVUA,+
CM014226.1-NVYALD,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,ENV,CM014226.1,NVYALD,+
CM014236.1-I3NVRB,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014236.1,I3NVRB,+
CM014236.1-DTEY14,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014236.1,DTEY14,+
CM014236.1-9CJE3E,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014236.1,9CJE3E,+
CM014236.1-K1B4FP,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,GAG,CM014236.1,K1B4FP,+
CM014236.1-1S4WN8,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014236.1,1S4WN8,+
CM014236.1-PRD70J,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014236.1,PRD70J,+
CM014226.1-FBCWC2,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,GAG,CM014226.1,FBCWC2,+
CM014226.1-HJIL5B,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,HJIL5B,+
CM014226.1-ZEIHFM,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,ZEIHFM,+
CM014226.1-BZVDHS,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,BZVDHS,+
CM014226.1-Q08XSB,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,Q08XSB,+
CM014236.1-GCCXYX,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,GAG,CM014236.1,GCCXYX,+
CM014236.1-8IDIF3,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,GAG,CM014236.1,8IDIF3,+
CM014236.1-I7GTOW,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014236.1,I7GTOW,+
CM014236.1-P7CLSI,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014236.1,P7CLSI,+
CM014236.1-DL77PC,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014236.1,DL77PC,+
CM014236.1-VM3BH3,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014236.1,VM3BH3,+
CM014239.1-C5864L,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014239.1,C5864L,-
CM014239.1-LFXIVF,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014239.1,LFXIVF,-
CM014239.1-T3JFM3,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014239.1,T3JFM3,-
CM014239.1-4708GS,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014239.1,4708GS,-
CM014239.1-YF6TDK,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014239.1,YF6TDK,-
CM014239.1-FVRZCV,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014239.1,FVRZCV,-
CM014239.1-OOLYUE,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,GAG,CM014239.1,OOLYUE,-
CM014239.1-FH314G,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014239.1,FH314G,-
CM014239.1-V90GPI,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014239.1,V90GPI,-
CM014239.1-CYMDJX,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014239.1,CYMDJX,-
CM014226.1-KXO5LE,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,KXO5LE,+
CM014239.1-96OIDL,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,GAG,CM014239.1,96OIDL,-
CM014239.1-02YP60,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014239.1,02YP60,-
CM014239.1-WWIZ79,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014239.1,WWIZ79,-
CM014239.1-QO3XYU,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,GAG,CM014239.1,QO3XYU,-
CM014239.1-C8YD5O,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014239.1,C8YD5O,-
CM014236.1-7LRZF8,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014236.1,7LRZF8,+
CM014226.1-YQYAGY,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,YQYAGY,+
CM014226.1-MVI5C9,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,MVI5C9,+
CM014236.1-FDJWMY,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014236.1,FDJWMY,+
CM014226.1-TCCROI,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,TCCROI,+
CM014226.1-YSDX9L,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,YSDX9L,+
CM014226.1-LYSQVW,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014226.1,LYSQVW,+
CM014226.1-JHI5YE,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,GAG,CM014226.1,JHI5YE,+
CM014226.1-QROFJ1,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,ENV,CM014226.1,QROFJ1,+
CM014226.1-NIVNCO,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,ENV,CM014226.1,NIVNCO,+
CM014248.1-JCJ4ZQ,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,ENV,CM014248.1,JCJ4ZQ,-
CM014239.1-NQGMK8,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014239.1,NQGMK8,-
CM014239.1-FXBPO5,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014239.1,FXBPO5,-
CM014239.1-VM5743,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014239.1,VM5743,-
CM014239.1-XQD05H,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,ENV,CM014239.1,XQD05H,-
CM014239.1-ZNQ2VQ,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014239.1,ZNQ2VQ,-
CM014239.1-BS6PIJ,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014239.1,BS6PIJ,-
CM014239.1-KMQX3P,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014239.1,KMQX3P,-
CM014248.1-U01YAG,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014248.1,U01YAG,-
CM014248.1-TCEDQ8,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014248.1,TCEDQ8,-
CM014248.1-ZLFAJX,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014248.1,ZLFAJX,-
CM014248.1-5D1L68,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014248.1,5D1L68,-
CM014248.1-QCIE1X,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014248.1,QCIE1X,-
CM014235.1-M7NULJ,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014235.1,M7NULJ,-
CM014235.1-FBDL4S,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014235.1,FBDL4S,-
CM014235.1-3L3RYL,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,GAG,CM014235.1,3L3RYL,-
CM014235.1-LFAXH9,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,ENV,CM014235.1,LFAXH9,-
CM014235.1-DL6AMG,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,GAG,CM014235.1,DL6AMG,-
CM014235.1-OGBJ2Q,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014235.1,OGBJ2Q,-
CM014235.1-P0L7IO,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014235.1,P0L7IO,-
CM014239.1-3NZ6QB,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014239.1,3NZ6QB,-
CM014239.1-Y6HR30,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014239.1,Y6HR30,-
CM014236.1-VYXV5W,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014236.1,VYXV5W,+
CM014236.1-QCIKZV,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014236.1,QCIKZV,+
CM014236.1-FOCMJ1,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,ENV,CM014236.1,FOCMJ1,+
CM014229.1-GUM5HH,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014229.1,GUM5HH,-
CM014229.1-6PAOMN,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014229.1,6PAOMN,-
CM014229.1-LBK1LG,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014229.1,LBK1LG,-
CM014229.1-ZAJ0PR,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014229.1,ZAJ0PR,-
CM014229.1-WBX355,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014229.1,WBX355,-
CM014229.1-YKAP0E,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014229.1,YKAP0E,-
CM014245.1-3H1Z78,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,ENV,CM014245.1,3H1Z78,+
CM014245.1-NOIJA9,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014245.1,NOIJA9,+
CM014245.1-1ZWMNW,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014245.1,1ZWMNW,+
CM014245.1-3QTFPE,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014245.1,3QTFPE,+
CM014239.1-R54KCQ,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014239.1,R54KCQ,-
CM014239.1-RT96H6,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014239.1,RT96H6,-
CM014228.1-1A95XN,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,GAG,CM014228.1,1A95XN,-
CM014228.1-1DOM2Z,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014228.1,1DOM2Z,-
CM014228.1-2GB5MS,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014228.1,2GB5MS,-
CM014228.1-L0Q9CW,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014228.1,L0Q9CW,-
CM014228.1-P476XU,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014228.1,P476XU,-
CM014228.1-711WWC,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014228.1,711WWC,-
CM014228.1-OTPOCJ,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,ENV,CM014228.1,OTPOCJ,-
CM014243.1-KEZWS9,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014243.1,KEZWS9,+
CM014243.1-XE0MBD,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014243.1,XE0MBD,+
CM014243.1-RFPG87,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014243.1,RFPG87,+
CM014239.1-JQQKGB,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014239.1,JQQKGB,-
CM014243.1-9YXYHH,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014243.1,9YXYHH,+
CM014243.1-WXH1SO,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014243.1,WXH1SO,+
CM014243.1-87GUH4,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014243.1,87GUH4,+
CM014243.1-138PW8,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,GAG,CM014243.1,138PW8,+
CM014243.1-5ZSTXA,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014243.1,5ZSTXA,+
CM014243.1-2F1L7X,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014243.1,2F1L7X,+
CM014248.1-CDUQOR,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014248.1,CDUQOR,-
CM014248.1-WGGXKW,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014248.1,WGGXKW,-
CM014239.1-DIDG57,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014239.1,DIDG57,-
CM014248.1-5ORC24,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014248.1,5ORC24,-
CM014235.1-01KNPD,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,GAG,CM014235.1,01KNPD,-
CM014235.1-6YEJOH,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014235.1,6YEJOH,-
CM014239.1-NEDG6M,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,POL,CM014239.1,NEDG6M,-
CM014248.1-L1N4H3,Alpharetrovirus,Rous sarcoma virus,RSV,Rhinolophus_ferrumequinum,GAG,CM014248.1,L1N4H3,-
CM014239.1-0FAP7P,Alpharetrovirus,Avian leukosis virus,ALV,Rhinolophus_ferrumequinum,POL,CM014239.1,0FAP7P,-
CM014239.1-5NLF5F,Alpharetrovirus,Avian leukosis virus,ALV,Rhinolophus_ferrumequinum,GAG,CM014239.1,5NLF5F,-
CM014239.1-IH9I0K,Alpharetrovirus,Avian leukosis virus,ALV,Rhinolophus_ferrumequinum,POL,CM014239.1,IH9I0K,-
CM014239.1-AV5LQ2,Alpharetrovirus,Avian leukosis virus,ALV,Rhinolophus_ferrumequinum,POL,CM014239.1,AV5LQ2,-
